11000	8900	test	test
11001	8901	s2	kegg
11002	8902	s2	mesh
11003	8903	s2	mgi
11004	8904	s2	obo
11005	8905	s2	omim
11006	8906	s2	pdb
11007	8907	s2	sgd
11008	8908	s2	taxon
11009	8909	s2	uniprot
11010	8910	s2	unists
11011	8911	s3	homologene
11012	8912	s3	reactome
11013	8913	s3	cpath
11014	8914	s3	biocyc
11015	8915	s3	biopax
11016	8916	s3	chebi
11017	8917	s3	ec
11018	8918	s3	geneid
11019	8919	s3	go
11020	8920	s3	hgnc
11021	8921	s3	pharmgkb
11022	8922	s2	lodd
11023	8923	s3	irefindex
11024	8924	s2	iproclass
